sample ID	forward sequence count	reverse sequence count
2212-16S	261928	261928
2232-16S	212487	212487
1211-16S	204676	204676
3321-16S	202360	202360
1133-16S	198572	198572
2222-16S	191780	191780
3133-16S	190731	190731
3212-16S	190729	190729
1232-16S	187877	187877
3313-16S	183852	183852
3112-16S	183556	183556
1122-16S	182227	182227
2323-16S	182115	182115
2331-16S	180164	180164
3122-16S	177916	177916
1223-16S	177279	177279
1333-16S	175821	175821
3222-16S	174703	174703
1331-16S	174301	174301
2111-16S	173790	173790
1123-16S	173017	173017
3322-16S	172565	172565
3332-16S	172244	172244
2112-16S	171018	171018
3323-16S	170844	170844
2231-16S	170700	170700
3211-16S	170409	170409
3221-16S	170230	170230
1111-16S	170138	170138
2211-16S	169034	169034
2113-16S	168665	168665
2223-16S	168108	168108
3213-16S	167613	167613
1121-16S	166080	166080
3331-16S	165978	165978
1231-16S	165912	165912
2131-16S	165063	165063
3121-16S	165014	165014
1113-16S	164713	164713
2332-16S	164305	164305
3231-16S	163623	163623
2133-16S	163136	163136
3233-16S	161958	161958
3111-16S	161888	161888
1131-16S	161641	161641
1221-16S	160989	160989
1321-16S	159866	159866
1212-16S	158491	158491
3113-16S	157580	157580
2132-16S	156216	156216
2123-16S	155876	155876
3123-16S	154897	154897
1313-16S	154745	154745
3131-16S	154288	154288
1112-16S	153238	153238
3132-16S	153222	153222
1213-16S	151418	151418
2221-16S	150670	150670
1132-16S	150368	150368
1311-16S	150301	150301
1323-16S	150264	150264
2311-16S	145330	145330
1233-16S	145190	145190
1222-16S	144507	144507
1322-16S	143820	143820
2121-16S	143334	143334
1312-16S	143243	143243
3232-16S	143054	143054
2213-16S	142924	142924
3223-16S	141884	141884
3311-16S	139406	139406
3333-16S	132296	132296
3312-16S	131848	131848
2233-16S	131434	131434
2313-16S	130996	130996
1332-16S	77495	77495
2122-16S	74236	74236
	163301.116883117	163301.116883117
