"","plot_id","first","second","third","fourth","elev","aspect","slope","tpi"
"1",1111,"1","1","1","1",1820,0.788010753606722,31.35,-0.712493896484375
"2",1112,"1","1","1","2",1864,0.615661475325659,36.85,-0.4375
"3",1113,"1","1","1","3",1876,0.656059028990507,37.8,-0.262481689453125
"4",1121,"1","1","2","1",1890,0.961261695938319,32.6,-0.3125
"5",1122,"1","1","2","2",1934,0.342020143325668,24.8,0.187469482421875
"6",1123,"1","1","2","3",1900,-0.866025403784439,29.3,0.387527465820312
"7",1131,"1","1","3","1",1873,-0.945518575599317,30.1,1.00003051757812
"8",1132,"1","1","3","2",1862,-0.629320391049837,31.8,0.425018310546875
"9",1133,"1","1","3","3",1831,-0.961261695938319,25.45,-0.2750244140625
"10",1211,"1","2","1","1",1910,-0.987688340595138,24.7,0.300018310546875
"11",1212,"1","2","1","2",1899,0.139173100960066,26.3,-1.06254577636719
"12",1213,"1","2","1","3",1878,-0.996194698091746,26.4,0.0125579833984375
"13",1221,"1","2","2","1",1868,-0.0348994967025007,28.05,-0.262466430664062
"14",1222,"1","2","2","2",1858,-0.656059028990508,32.25,0.349990844726562
"15",1223,"1","2","2","3",1828,-0.3583679495453,35.25,-0.5875244140625
"16",1231,"1","2","3","1",1849,-0.898794046299167,26.2,0.0999603271484375
"17",1232,"1","2","3","2",1830,-0.309016994374947,32.1,0.12493896484375
"18",1233,"1","2","3","3",1808,-0.951056516295154,28.6,-0.29998779296875
"19",1311,"1","3","1","1",1785,-0.866025403784439,34.4,0.087493896484375
"20",1312,"1","3","1","2",1791,-0.996194698091746,31.5,0.699981689453125
"21",1313,"1","3","1","3",1738,-0.956304755963036,32.75,0.824996948242188
"22",1321,"1","3","2","1",1787,-0.809016994374947,33.3,0.0375518798828125
"23",1322,"1","3","2","2",1745,-0.309016994374947,24.8,-0.912521362304688
"24",1323,"1","3","2","3",1724,-0.798635510047293,32.05,-0.7750244140625
"25",1331,"1","3","3","1",1711,0.342020143325668,4.9,-0.987442016601562
"26",1332,"1","3","3","2",1742,0.754709580222772,42.1,-0.1624755859375
"27",1333,"1","3","3","3",1767,0.996194698091746,40.95,-1.03755187988281
"28",2111,"2","1","1","1",1845,0.207911690817759,40.2,0.075042724609375
"29",2112,"2","1","1","2",1895,-0.104528463267653,33.6,-0.700027465820312
