Date,Recorder_1,Recorder_2,Plot_id,Quadrant,Species,Cover
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Prunus virginiana,12
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Symphoricarpos oreophilus,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Lathyrus pauciflorus,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Chrysothamnus viscidiflorus,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Achillea millefolium,8
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Maianthemum stellatum,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Lithophragma parviflorum,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Claytonia perfoliata,22
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Collinsia parviflora,1
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Agastache urticifolia,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Lactuca serriola,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Tragopogon dubius,4
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Nemophila breviflora,6
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Galium aparine,1
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Taraxacum officinale,2
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Pseudostellaria jamesiana,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Poa pratensis,0.5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Bromus carinatus,2
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Erigeron speciosus,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Collomia linearis,2
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Symphoricarpos oreophilus,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,organic matter,12
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Berberis repens,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,4,Poa pratensis,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Prunus virginiana,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Symphoricarpos oreophilus,9
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Lathyrus pauciflorus,13
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Chrysothamnus viscidiflorus,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Achillea millefolium,15
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Maianthemum stellatum,2
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Lithophragma parviflorum,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Claytonia perfoliata,40
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Collinsia parviflora,6
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Agastache urticifolia,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Lactuca serriola,9
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Tragopogon dubius,5
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Nemophila breviflora,3
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Galium aparine,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Taraxacum officinale,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Pseudostellaria jamesiana,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Poa pratensis,0
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Bromus carinatus,2
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Erigeron speciosus,9
2018-06-08,Elizabeth Simpson,Will Pearse,1111,3,Collomia linearis,4
